iter	RMSE
0	711.4690799
1	696.0705355
2	681.6004342
3	666.9579299
4	652.5816965
5	638.5960349
6	627.4137863
7	615.4339182
8	604.0725984
9	592.3953673
10	581.0882539
11	572.0463894
12	562.3260461
13	552.258115
14	543.0185468
15	535.0354368
16	526.2568415
17	518.4147477
18	510.7489132
19	503.0381659
20	496.20435
21	489.1018318
22	481.7323619
23	474.6510955
24	468.1387649
25	461.6430016
26	455.8960814
27	450.2785674
28	445.2196296
29	439.6218618
30	434.6945936
31	429.3155858
32	424.5663563
33	420.4278704
34	415.8730188
35	411.2522577
36	407.2421435
37	403.1765078
38	399.3429057
39	395.402261
40	391.7352718
41	388.4030012
42	384.7849724
43	381.4667661
44	377.7963989
45	374.2512855
46	371.2388341
47	367.7301538
48	364.934032
49	362.0196016
50	358.8517184
51	355.3603688
52	352.8026519
53	350.4125752
54	347.7565951
55	345.6425955
56	343.2035451
57	341.0505185
58	339.2674523
59	337.0623889
60	335.2583592
61	333.2931155
62	330.678663
63	328.3340862
64	326.5505389
65	324.8965286
66	323.0152636
67	320.7514597
68	318.8600399
69	317.0641244
70	315.0100679
71	313.4179685
72	312.1857035
73	310.6503544
74	309.2363595
75	307.8177522
76	306.3805165
77	304.6287977
78	303.4715018
79	302.1127017
80	300.4778546
81	299.1977025
82	298.1193039
83	296.709986
84	295.3454321
85	294.3501938
86	293.2160372
87	291.8862106
88	290.9424271
89	289.8840365
90	288.7094436
91	287.9573021
92	287.0958509
93	286.0144075
94	285.329919
95	284.4004025
96	283.3622519
97	282.4331762
98	281.4442124
99	280.3558858
100	279.5045531
101	278.7929593
102	277.6685363
103	276.8202052
104	276.2600662
105	275.3639032
106	274.483712
107	273.6489487
108	272.9842964
109	272.1105236
110	271.2235274
111	270.54678
112	269.4281206
113	268.5711585
114	267.857623
115	266.500041
116	265.8327505
117	264.9491751
118	264.2203609
119	263.412727
120	262.7248341
121	261.8808582
122	261.2025074
123	260.5520542
124	259.9504684
125	258.9381482
126	258.1744863
127	257.6201784
128	256.9567926
129	256.4191301
130	255.8179303
131	255.2252219
132	254.6912494
133	253.7708444
134	253.0666203
135	252.2530616
136	251.7274262
137	251.2166177
138	250.5685899
139	249.9317181
140	249.3530249
141	248.69152
142	248.2781522
143	247.6800233
144	247.0255609
145	246.5495966
146	246.1366166
147	245.6058112
148	244.9049785
149	244.5295854
150	243.9378303
151	243.2424661
152	242.7847624
153	242.4458416
154	241.9603341
155	241.0575849
156	240.4278865
157	239.9634112
158	239.5634576
159	239.119607
160	238.587234
161	238.2557479
162	237.8316276
163	237.3675926
164	236.9977949
165	236.6328692
166	235.8935528
167	235.6008126
168	234.8679244
169	234.3578106
170	233.8266808
171	233.2373756
172	232.7197855
173	231.9781349
174	231.3805159
175	230.8369726
176	230.5008422
177	230.0450672
178	229.7444059
179	228.9691227
180	228.7073799
181	228.2837256
182	227.8906795
183	227.4384188
184	226.8529532
185	226.5107976
186	226.0196258
187	225.6243927
188	225.2799596
189	224.7783638
190	224.5585432
191	224.1378984
192	223.6132388
193	223.2614425
194	222.6783709
195	222.3850908
196	221.9047713
197	221.6202336
198	221.3175709
199	220.9941814
200	220.6373526
201	220.2627915
202	219.7357065
203	219.3569798
204	218.8752305
205	218.4048126
206	218.1786457
207	217.590858
208	217.4554089
209	217.23438
210	216.7102558
211	216.4894904
212	216.0478809
213	215.5071052
214	215.3644442
215	215.1009682
216	214.7207436
217	214.4272804
218	214.0569376
219	213.813825
220	213.5555685
221	213.2852705
222	212.9981039
223	212.7880886
224	212.5817458
225	211.9621457
226	211.7196333
227	211.4844167
228	210.8139629
229	210.6264194
230	210.3564895
231	210.1722549
232	209.7908409
233	209.3963044
234	209.0984652
235	208.7465134
236	208.2088326
237	207.9077342
238	207.5134458
239	207.3412327
240	207.1290847
241	206.925453
242	206.6438734
243	206.369272
244	205.986734
245	205.541604
246	205.048769
247	204.7659552
248	204.2106827
249	203.8803313
250	203.8294181
251	203.5691483
252	203.3971273
253	203.1138417
254	202.6938737
255	202.2711009
256	202.0187729
257	201.7045902
258	201.4779767
259	201.0977589
260	200.7746956
261	200.4495542
262	200.1541963
263	199.7405247
264	199.4355183
265	199.0642074
